"Reporting Starts","Reporting Ends","Account Name",Age,Results,"Result Indicator",Reach,Frequency,"Cost per Results","Amount Spent (USD)","Clicks (All)","CTR (All)","CPC (All) (USD)",Impressions,"CPM (Cost per 1,000 Impressions) (USD)","Link Clicks","CPC (Cost per Link Click) (USD)","CTR (Link Click-Through Rate)","Website Conversions","Cost per Website Conversion (USD)"
2008-12-15,2017-04-25,FitFam,35-44,,,439784,5.0678787768541,,18383.87,40488,1.816605736253,0.45405725153132,2228772,8.2484300771905,19844,0.9264195726668,0.89035576541701,9172,2.0043469254252
2008-12-15,2017-04-25,FitFam,45-54,,,285455,5.1101259392899,,16706.77,32671,2.239717120115,0.51136390070705,1458711,11.453104830223,16649,1.0034698780708,1.1413501372102,7243,2.3066091398592
2008-12-15,2017-04-25,FitFam,25-34,,,380427,4.1382919719158,,10515.01,24101,1.5308851197789,0.43628936558649,1574318,6.6790889769411,12036,0.87362994350282,0.76452152614656,6137,1.713379501385
2008-12-15,2017-04-25,FitFam,55-64,,,86608,5.2033184001478,,6424.91,13323,2.95640287674,0.48224198754034,450649,14.257015992491,7042,0.91237006532235,1.562635221647,2449,2.6234830543079
2008-12-15,2017-04-25,FitFam,18-24,,,80942,3.8613204516815,,974.87,2831,0.90579536255811,0.34435535146591,312543,3.1191548042989,1442,0.67605409153953,0.46137651459159,474,2.0566877637131
2008-12-15,2017-04-25,FitFam,65+,,,10253,4.0410611528333,,204.53,414,0.99920353341539,0.49403381642512,41433,4.9364033499867,164,1.2471341463415,0.39581975719837,42,4.8697619047619
2008-12-15,2017-04-25,FitFam,13-17,,,2968,1.4959568733154,,11.8,46,1.036036036036,0.25652173913043,4440,2.6576576576577,,,,,
2008-12-15,2017-04-25,FitFam,Unknown,,,0,0,,0.02,0,0,0,27,0.74074074074074,,,,,
