Reporting Starts,Reporting Ends,Ad Name,Delivery,Results,Result Indicator,Reach,Cost per Results,Amount Spent (USD),Impressions,"CPM (Cost per 1,000 Impressions) (USD)",Website Purchases,Cost per Website Purchase (USD)
5/28/2016,4/27/2017,6. Full Swag + Planeteers,not_delivering,7,actions:offsite_conversion.fb_pixel_purchase,3860,14.01857143,98.13,7906,12.41209208,7,14.01857143
5/28/2016,4/27/2017,6. Full Swag + Planeteers,not_delivering,5,actions:offsite_conversion.fb_pixel_purchase,961,8.598,42.99,2599,16.5409773,5,8.598
5/28/2016,4/27/2017,5. Medal 2 - Sky,not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,2148,39.16,39.16,3005,13.03161398,1,39.16
5/28/2016,4/27/2017,5. Medal 2 - Sky,inactive,,,571,,9.64,655,14.71755725,,
5/28/2016,4/27/2017,5. Medal 2 - Sky,not_delivering,,,1566,,26.18,1842,14.21281216,,
5/28/2016,4/27/2017,5. Medal 2 - Sky,not_delivering,3,actions:offsite_conversion.fb_pixel_purchase,1214,13.05333333,39.16,2756,14.20899855,3,13.05333333
5/28/2016,4/27/2017,5. Medal 2 - Sky,not_delivering,6,actions:offsite_conversion.fb_pixel_purchase,2712,13.18833333,79.13,7199,10.99180442,6,13.18833333
5/28/2016,4/27/2017,5. Medal 2 - Sky,not_delivering,15,actions:offsite_conversion.fb_pixel_purchase,3310,5.290666667,79.36,8273,9.592650792,15,5.290666667
5/28/2016,4/27/2017,5. Medal 2 - Sky,not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,4238,39.16,39.16,6665,5.875468867,1,39.16
5/28/2016,4/27/2017,4. Full Swag 2 - Celebrate Earth Day,not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,988,4.555,9.11,1095,8.319634703,2,4.555
5/28/2016,4/27/2017,4. Full Swag 2 - Celebrate Earth Day,not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,1439,7.675,15.35,1617,9.492888064,2,7.675
5/28/2016,4/27/2017,4. Full Swag 2 - Celebrate Earth Day,not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,809,4.585,9.17,875,10.48,2,4.585
5/28/2016,4/27/2017,4. Full Swag 2 - Celebrate Earth Day,not_delivering,,,627,,15.33,769,19.93498049,,
5/28/2016,4/27/2017,4. Full Swag 2 - Celebrate Earth Day,not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,1327,7.7,15.4,1498,10.28037383,2,7.7
5/28/2016,4/27/2017,4. Full Swag 2 - Celebrate Earth Day,not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,1177,15.42,15.42,1333,11.56789197,1,15.42
5/28/2016,4/27/2017,4. Full Swag 2 - Celebrate Earth Day,not_delivering,3,actions:offsite_conversion.fb_pixel_purchase,736,3.07,9.21,810,11.37037037,3,3.07
5/28/2016,4/27/2017,4. Full Swag 2 - Celebrate Earth Day,not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,1067,15.33,15.33,1204,12.73255814,1,15.33
5/28/2016,4/27/2017,4. Full Swag 2 - Celebrate Earth Day,not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,990,29.42,29.42,1248,23.57371795,1,29.42
5/28/2016,4/27/2017,4. Full Swag 2 - Celebrate Earth Day,not_delivering,,,1763,,29.71,2185,13.597254,,
5/28/2016,4/27/2017,4. Full Swag 2 - Celebrate Earth Day,not_delivering,3,actions:offsite_conversion.fb_pixel_purchase,861,9.85,29.55,1324,22.31873112,3,9.85
5/28/2016,4/27/2017,4. Full Swag 2 - Celebrate Earth Day,not_delivering,,,1078,,30.34,1567,19.36183791,,
5/28/2016,4/27/2017,3. Medal Photo - Celebrate Earth Day,not_delivering,32,actions:offsite_conversion.fb_pixel_purchase,4097,6.7621875,216.39,17975,12.03838665,32,6.7621875
5/28/2016,4/27/2017,3. Medal Photo - Celebrate Earth Day,not_delivering,5,actions:offsite_conversion.fb_pixel_purchase,10521,20.16,100.8,12614,7.991120977,5,20.16
5/28/2016,4/27/2017,3. Medal Photo - Celebrate Earth Day,not_delivering,7,actions:offsite_conversion.fb_pixel_purchase,3210,19.01857143,133.13,9982,13.33700661,7,19.01857143
5/28/2016,4/27/2017,3. Medal Photo - Celebrate Earth Day,not_delivering,15,actions:offsite_conversion.fb_pixel_purchase,8058,14.38666667,215.8,16644,12.96563326,15,14.38666667
5/28/2016,4/27/2017,3. Medal Photo - Celebrate Earth Day,not_delivering,25,actions:offsite_conversion.fb_pixel_purchase,8669,8.6236,215.59,22363,9.640477575,25,8.6236
5/28/2016,4/27/2017,3. Medal Photo - Celebrate Earth Day,not_delivering,12,actions:offsite_conversion.fb_pixel_purchase,5262,14.44,173.28,13832,12.52747253,12,14.44
5/28/2016,4/27/2017,3. Medal Photo - Celebrate Earth Day,not_delivering,4,actions:offsite_conversion.fb_pixel_purchase,11694,24.78,99.12,15205,6.518908254,4,24.78
5/28/2016,4/27/2017,3. Medal Photo - Celebrate Earth Day,not_delivering,10,actions:offsite_conversion.fb_pixel_purchase,5803,17.372,173.72,14982,11.59524763,10,17.372
5/28/2016,4/27/2017,2. Full Swag - Earth Day Pride,inactive,1,actions:offsite_conversion.fb_pixel_purchase,4546,189.05,189.05,10905,17.33608436,1,189.05
5/28/2016,4/27/2017,2. Full Swag - Earth Day Pride,inactive,1,actions:offsite_conversion.fb_pixel_purchase,3869,185.84,185.84,9733,19.09380458,1,185.84
5/28/2016,4/27/2017,2. Full Swag - Earth Day Pride,inactive,21,actions:offsite_conversion.fb_pixel_purchase,2816,3.425714286,71.94,4905,14.66666667,21,3.425714286
5/28/2016,4/27/2017,2. Full Swag - Earth Day Pride,inactive,,,1077,,9.97,1091,9.138405133,,
5/28/2016,4/27/2017,2. Full Swag - Earth Day Pride,inactive,,,817,,11.11,824,13.48300971,,
5/28/2016,4/27/2017,2. Full Swag - Earth Day Pride,inactive,12,actions:offsite_conversion.fb_pixel_purchase,3783,6.026666667,72.32,4877,14.82878819,12,6.026666667
5/28/2016,4/27/2017,2. Full Swag - Earth Day Pride,inactive,5,actions:offsite_conversion.fb_pixel_purchase,4407,14.66,73.3,6108,12.00065488,5,14.66
5/28/2016,4/27/2017,2. Full Swag - Earth Day Pride,inactive,1,actions:offsite_conversion.fb_pixel_purchase,844,10,10,849,11.77856302,1,10
5/28/2016,4/27/2017,2. Full Swag - Earth Day Pride,inactive,3,actions:offsite_conversion.fb_pixel_purchase,6275,24.19666667,72.59,7231,10.03872217,3,24.19666667
5/28/2016,4/27/2017,2. Full Swag - Earth Day Pride,inactive,1,actions:offsite_conversion.fb_pixel_purchase,2219,48.05,48.05,3069,15.65656566,1,48.05
5/28/2016,4/27/2017,2. Full Swag - Earth Day Pride,inactive,,,625,,11.15,679,16.42120766,,
