Reporting Starts,Reporting Ends,Campaign Name,Age,Delivery,Results,Result Indicator,Reach,Cost per Results,Amount Spent (USD),Impressions,"CPM (Cost per 1,000 Impressions) (USD)",Website Purchases,Cost per Website Purchase (USD)
9/20/2011,4/27/2017,"Post: ""Our community rocks.

Here is a post by one of...""",35-44,inactive,,,1694,,5.93,1712,3.463785047,,
9/20/2011,4/27/2017,"Post: ""Our community rocks.

Here is a post by one of...""",45-54,inactive,,,474,,1.72,480,3.583333333,,
9/20/2011,4/27/2017,"Post: ""Our community rocks.

Here is a post by one of...""",55-64,inactive,,,28,,0.13,31,4.193548387,,
9/20/2011,4/27/2017,Gametiime-Post Engagement-US-25-55,18-24,inactive,,,1,,0,1,0,,
9/20/2011,4/27/2017,Gametiime-Post Engagement-US-25-55,55-64,inactive,,,40,,0.48,53,9.056603774,,
9/20/2011,4/27/2017,Gametiime-Post Engagement-US-25-55,45-54,inactive,,,746,,9.43,1067,8.837863168,,
9/20/2011,4/27/2017,Gametiime-Post Engagement-US-25-55,35-44,inactive,,,1738,,18.37,2328,7.890893471,,
9/20/2011,4/27/2017,Gametiime-Post Engagement-US-25-55,25-34,inactive,,,1861,,16.72,2279,7.336551119,,
9/20/2011,4/27/2017,"Post: ""Big news! Our launch to California has arrived!...""",13-17,inactive,,,39,,0.1,39,2.564102564,,
9/20/2011,4/27/2017,"Post: ""Big news! Our launch to California has arrived!...""",18-24,inactive,,,495,,1.45,501,2.894211577,,
9/20/2011,4/27/2017,"Post: ""Big news! Our launch to California has arrived!...""",65+,inactive,,,61,,0.37,62,5.967741935,,
9/20/2011,4/27/2017,"Post: ""Big news! Our launch to California has arrived!...""",55-64,inactive,,,99,,0.53,100,5.3,,
9/20/2011,4/27/2017,"Post: ""Big news! Our launch to California has arrived!...""",45-54,inactive,,,242,,1.52,243,6.255144033,,
9/20/2011,4/27/2017,"Post: ""Big news! Our launch to California has arrived!...""",25-34,inactive,,,749,,3.2,762,4.199475066,,
9/20/2011,4/27/2017,"Post: ""Big news! Our launch to California has arrived!...""",35-44,inactive,,,518,,2.83,531,5.329566855,,
9/20/2011,4/27/2017,"Post: ""Say hello to our latest feature!

Find a race,...""",13-17,inactive,,,94,,0.18,94,1.914893617,,
9/20/2011,4/27/2017,"Post: ""Say hello to our latest feature!

Find a race,...""",25-34,inactive,,,1499,,4.49,1516,2.961741425,,
9/20/2011,4/27/2017,"Post: ""Say hello to our latest feature!

Find a race,...""",18-24,inactive,,,1552,,3.12,1557,2.003853565,,
9/20/2011,4/27/2017,"Post: ""Say hello to our latest feature!

Find a race,...""",35-44,inactive,,,862,,3.36,871,3.857634902,,
9/20/2011,4/27/2017,"Post: ""Say hello to our latest feature!

Find a race,...""",45-54,inactive,,,421,,1.99,426,4.671361502,,
9/20/2011,4/27/2017,"Post: ""Say hello to our latest feature!

Find a race,...""",65+,inactive,,,136,,0.84,138,6.086956522,,
9/20/2011,4/27/2017,"Post: ""Say hello to our latest feature!

Find a race,...""",55-64,inactive,,,178,,1.02,180,5.666666667,,
9/20/2011,4/27/2017,"Post: ""Veteran's Day is almost upon us. Check out these...""",13-17,inactive,,,35,,0.08,35,2.285714286,,
9/20/2011,4/27/2017,"Post: ""Veteran's Day is almost upon us. Check out these...""",55-64,inactive,,,65,,0.46,65,7.076923077,,
9/20/2011,4/27/2017,"Post: ""Veteran's Day is almost upon us. Check out these...""",45-54,inactive,,,137,,0.78,138,5.652173913,,
9/20/2011,4/27/2017,"Post: ""Veteran's Day is almost upon us. Check out these...""",35-44,inactive,,,260,,1.18,265,4.452830189,,
9/20/2011,4/27/2017,"Post: ""Veteran's Day is almost upon us. Check out these...""",18-24,inactive,,,173,,0.55,173,3.179190751,,
9/20/2011,4/27/2017,"Post: ""Veteran's Day is almost upon us. Check out these...""",25-34,inactive,,,381,,1.65,380,4.342105263,,
9/20/2011,4/27/2017,"Post: ""Veteran's Day is almost upon us. Check out these...""",65+,inactive,,,44,,0.3,45,6.666666667,,
9/20/2011,4/27/2017,"Promoting ""Triathletes & swimmers!

Gametiime & SwimovateUSA...""",18-24,inactive,,,52,,0.28,53,5.283018868,,
9/20/2011,4/27/2017,"Promoting ""Triathletes & swimmers!

Gametiime & SwimovateUSA...""",65+,inactive,,,10,,0.11,10,11,,
9/20/2011,4/27/2017,"Promoting ""Triathletes & swimmers!

Gametiime & SwimovateUSA...""",55-64,inactive,,,14,,0.12,15,8,,
9/20/2011,4/27/2017,"Promoting ""Triathletes & swimmers!

Gametiime & SwimovateUSA...""",45-54,inactive,,,162,,0.97,163,5.950920245,,
9/20/2011,4/27/2017,"Promoting ""Triathletes & swimmers!

Gametiime & SwimovateUSA...""",25-34,inactive,,,2147,,7.48,2159,3.464566929,,
9/20/2011,4/27/2017,"Promoting ""Triathletes & swimmers!

Gametiime & SwimovateUSA...""",35-44,inactive,,,1415,,6.04,1425,4.238596491,,
9/20/2011,4/27/2017,"Promoting ""Attention runners, triathletes, and swimmers!...""",13-17,inactive,,,16,,0.05,16,3.125,,
9/20/2011,4/27/2017,"Promoting ""Attention runners, triathletes, and swimmers!...""",25-34,inactive,,,425,,1.68,431,3.897911833,,
9/20/2011,4/27/2017,"Promoting ""Attention runners, triathletes, and swimmers!...""",18-24,inactive,,,236,,0.66,237,2.784810127,,
9/20/2011,4/27/2017,"Promoting ""Attention runners, triathletes, and swimmers!...""",35-44,inactive,,,258,,1.2,259,4.633204633,,
9/20/2011,4/27/2017,"Promoting ""Attention runners, triathletes, and swimmers!...""",45-54,inactive,,,133,,0.67,134,5,,
9/20/2011,4/27/2017,"Promoting ""Attention runners, triathletes, and swimmers!...""",65+,inactive,,,35,,0.23,36,6.388888889,,
9/20/2011,4/27/2017,"Promoting ""Attention runners, triathletes, and swimmers!...""",55-64,inactive,,,65,,0.51,66,7.727272727,,
9/20/2011,4/27/2017,"Promoting ""Just posted our latest #Gametiime Weekend...""",13-17,inactive,,,65,,0.19,66,2.878787879,,
9/20/2011,4/27/2017,"Promoting ""Just posted our latest #Gametiime Weekend...""",55-64,inactive,,,163,,1.01,165,6.121212121,,
9/20/2011,4/27/2017,"Promoting ""Just posted our latest #Gametiime Weekend...""",45-54,inactive,,,280,,1.62,281,5.765124555,,
9/20/2011,4/27/2017,"Promoting ""Just posted our latest #Gametiime Weekend...""",35-44,inactive,,,562,,2.33,563,4.138543517,,
9/20/2011,4/27/2017,"Promoting ""Just posted our latest #Gametiime Weekend...""",18-24,inactive,,,491,,1.59,498,3.192771084,,
9/20/2011,4/27/2017,"Promoting ""Just posted our latest #Gametiime Weekend...""",25-34,inactive,,,686,,2.62,690,3.797101449,,
9/20/2011,4/27/2017,"Promoting ""Just posted our latest #Gametiime Weekend...""",65+,inactive,,,104,,0.64,104,6.153846154,,
9/20/2011,4/27/2017,"Promoting ""A big thanks to our new friends at INKnBURN for...""",13-17,inactive,,,218,,0.45,218,2.064220183,,
9/20/2011,4/27/2017,"Promoting ""A big thanks to our new friends at INKnBURN for...""",55-64,inactive,,,405,,1.66,410,4.048780488,,
9/20/2011,4/27/2017,"Promoting ""A big thanks to our new friends at INKnBURN for...""",65+,inactive,,,292,,0.93,292,3.184931507,,
9/20/2011,4/27/2017,"Promoting ""A big thanks to our new friends at INKnBURN for...""",45-54,inactive,,,1068,,3.32,1098,3.023679417,,
9/20/2011,4/27/2017,"Promoting ""A big thanks to our new friends at INKnBURN for...""",35-44,inactive,,,2362,,6.11,2495,2.448897796,,
9/20/2011,4/27/2017,"Promoting ""A big thanks to our new friends at INKnBURN for...""",18-24,inactive,,,3480,,7.16,3637,1.968655485,,
9/20/2011,4/27/2017,"Promoting ""A big thanks to our new friends at INKnBURN for...""",25-34,inactive,,,4571,,10.37,4716,2.198897371,,
9/20/2011,4/27/2017,"Promoting ""... telling the stories of you, the local runners...""",18-24,inactive,,,2850,,7.34,2891,2.538913871,,
9/20/2011,4/27/2017,"Promoting ""... telling the stories of you, the local runners...""",25-34,inactive,,,1745,,4.61,1781,2.588433464,,
9/20/2011,4/27/2017,"Promoting ""... telling the stories of you, the local runners...""",35-44,inactive,,,915,,3.17,928,3.415948276,,
9/20/2011,4/27/2017,"Promoting ""... telling the stories of you, the local runners...""",45-54,inactive,,,702,,4.79,742,6.455525606,,
9/20/2011,4/27/2017,"Promoting ""... telling the stories of you, the local runners...""",55-64,inactive,,,444,,2.91,455,6.395604396,,
9/20/2011,4/27/2017,Gametiime-Clicks-US-20-65-Summer,18-24,inactive,,,7164,,7.89,44303,0.178091777,,
9/20/2011,4/27/2017,Gametiime-Clicks-US-20-65-Summer,65+,inactive,,,605,,1.39,5310,0.261770245,,
9/20/2011,4/27/2017,Gametiime-Clicks-US-20-65-Summer,55-64,inactive,,,871,,1.71,5077,0.336813079,,
9/20/2011,4/27/2017,Gametiime-Clicks-US-20-65-Summer,45-54,inactive,,,1599,,1.79,5883,0.304266531,,
9/20/2011,4/27/2017,Gametiime-Clicks-US-20-65-Summer,25-34,inactive,,,3023,,2.28,11945,0.190874843,,
9/20/2011,4/27/2017,Gametiime-Clicks-US-20-65-Summer,35-44,inactive,,,2295,,2.15,9628,0.223307021,,
9/20/2011,4/27/2017,"Promoting ""It's NATIONAL RUNNING DAY! Join us in...""",13-17,inactive,,,2838,,8.54,2910,2.934707904,,
9/20/2011,4/27/2017,"Promoting ""It's NATIONAL RUNNING DAY! Join us in...""",18-24,inactive,,,1880,,5.87,1884,3.115711253,,
9/20/2011,4/27/2017,"Promoting ""It's NATIONAL RUNNING DAY! Join us in...""",65+,inactive,,,43,,0.25,47,5.319148936,,
9/20/2011,4/27/2017,"Promoting ""It's NATIONAL RUNNING DAY! Join us in...""",55-64,inactive,,,37,,0.19,37,5.135135135,,
9/20/2011,4/27/2017,"Promoting ""It's NATIONAL RUNNING DAY! Join us in...""",45-54,inactive,,,75,,0.5,87,5.747126437,,
9/20/2011,4/27/2017,"Promoting ""It's NATIONAL RUNNING DAY! Join us in...""",25-34,inactive,,,979,,3.59,979,3.66700715,,
9/20/2011,4/27/2017,"Promoting ""It's NATIONAL RUNNING DAY! Join us in...""",35-44,inactive,,,247,,1.06,247,4.291497976,,
9/20/2011,4/27/2017,Gametiime-Page Likes-US-22-65,13-17,inactive,,,0,,0,2,0,,
9/20/2011,4/27/2017,Gametiime-Page Likes-US-22-65,25-34,inactive,,,43440,,441.8,220046,2.007762013,,
9/20/2011,4/27/2017,Gametiime-Page Likes-US-22-65,18-24,inactive,,,22198,,127.01,122866,1.033727801,,
9/20/2011,4/27/2017,Gametiime-Page Likes-US-22-65,35-44,inactive,,,31477,,470.32,174622,2.693360516,,
9/20/2011,4/27/2017,Gametiime-Page Likes-US-22-65,45-54,inactive,,,17388,,218.49,94716,2.306790827,,
9/20/2011,4/27/2017,Gametiime-Page Likes-US-22-65,Unknown,inactive,,,0,,0.02,25,0.8,,
9/20/2011,4/27/2017,Gametiime-Page Likes-US-22-65,65+,inactive,,,3299,,40.45,20293,1.993298182,,
9/20/2011,4/27/2017,Gametiime-Page Likes-US-22-65,55-64,inactive,,,5734,,75.74,32778,2.310696199,,
