Reporting Starts,Reporting Ends,Campaign Name,Age,Delivery,Results,Result Indicator,Reach,Cost per Results,Amount Spent (USD),Impressions,"CPM (Cost per 1,000 Impressions) (USD)",Website Purchases,Cost per Website Purchase (USD)
9/20/2011,4/27/2017,Emoji Run 2016 - Website Conversions #1,45-54,inactive,19,actions:offsite_conversion.fb_pixel_purchase,3424,5.419473684,102.97,9550,10.78219895,19,5.419473684
9/20/2011,4/27/2017,Emoji Run 2016 - Website Conversions #1,25-34,inactive,16,actions:offsite_conversion.fb_pixel_purchase,6252,7.445,119.12,15193,7.84045284,16,7.445
9/20/2011,4/27/2017,Emoji Run 2016 - Website Conversions #1,65+,inactive,4,actions:offsite_conversion.fb_pixel_purchase,504,3.285,13.14,1719,7.643979058,4,3.285
9/20/2011,4/27/2017,Emoji Run 2016 - Website Conversions #1,55-64,inactive,1,actions:offsite_conversion.fb_pixel_purchase,1280,40.18,40.18,3892,10.32374101,1,40.18
9/20/2011,4/27/2017,Emoji Run 2016 - Website Conversions #1,18-24,inactive,,,584,,6.27,724,8.660220994,,
9/20/2011,4/27/2017,Challenge Dash 2016 - Website Conversions #1,25-34,inactive,21,actions:offsite_conversion.fb_pixel_purchase,8280,6.593333333,138.46,16629,8.326417704,21,6.593333333
9/20/2011,4/27/2017,Challenge Dash 2016 - Website Conversions #1,35-44,inactive,18,actions:offsite_conversion.fb_pixel_purchase,7656,9.44,169.92,17039,9.972416222,18,9.44
9/20/2011,4/27/2017,Challenge Dash 2016 - Website Conversions #1,45-54,inactive,11,actions:offsite_conversion.fb_pixel_purchase,4560,11.39363636,125.33,10540,11.89089184,11,11.39363636
9/20/2011,4/27/2017,Americana Run 2016 - Conversions,45-54,inactive,6,actions:offsite_conversion.fb_pixel_purchase,1488,4.933333333,29.6,1778,16.64791901,6,4.933333333
9/20/2011,4/27/2017,Americana Run 2016 - Conversions,35-44,inactive,3,actions:offsite_conversion.fb_pixel_purchase,2104,11.55666667,34.67,2630,13.18250951,3,11.55666667
9/20/2011,4/27/2017,Challenge Dash 2016 - Website Conversions #1,55-64,inactive,3,actions:offsite_conversion.fb_pixel_purchase,1816,16.83333333,50.5,4217,11.97533792,3,16.83333333
9/20/2011,4/27/2017,Americana Run 2016 - Conversions,25-34,inactive,2,actions:offsite_conversion.fb_pixel_purchase,1430,9.32,18.64,1829,10.1913614,2,9.32
9/20/2011,4/27/2017,Americana Run 2016 - Conversions,55-64,inactive,1,actions:offsite_conversion.fb_pixel_purchase,650,12.84,12.84,791,16.23261694,1,12.84
9/20/2011,4/27/2017,Challenge Dash 2016 - Website Conversions #1,65+,inactive,1,actions:offsite_conversion.fb_pixel_purchase,648,15.79,15.79,1594,9.905897114,1,15.79
9/20/2011,4/27/2017,Americana Run 2016 - Conversions,65+,inactive,,,214,,4.25,275,15.45454545,,
9/20/2011,4/27/2017,Americana Run 2016 - Conversions #1,35-44,inactive,3,actions:offsite_conversion.fb_pixel_purchase,505,2.226666667,6.68,602,11.09634551,3,2.226666667
9/20/2011,4/27/2017,Americana Run 2016 - Conversions #1,25-34,inactive,2,actions:offsite_conversion.fb_pixel_purchase,627,2.99,5.98,743,8.048452221,2,2.99
9/20/2011,4/27/2017,Americana Run 2016 - Conversions #1,45-54,inactive,,,281,,3.98,359,11.08635097,,
9/20/2011,4/27/2017,Americana Run 2016 - Conversions #1,55-64,inactive,,,117,,1.81,158,11.4556962,,
9/20/2011,4/27/2017,Americana Run 2016 - Conversions #1,65+,inactive,,,73,,0.75,84,8.928571429,,
9/20/2011,4/27/2017,Americana Run 2016 - Memorial Day,45-54,inactive,7,actions:offsite_conversion.fb_pixel_purchase,2668,7.277142857,50.94,3361,15.15620351,7,7.277142857
9/20/2011,4/27/2017,Americana Run 2016 - Memorial Day,35-44,inactive,4,actions:offsite_conversion.fb_pixel_purchase,4524,16.795,67.18,5879,11.42711345,4,16.795
9/20/2011,4/27/2017,Americana Run 2016 - Memorial Day,55-64,inactive,2,actions:offsite_conversion.fb_pixel_purchase,1064,12.295,24.59,1409,17.45209368,2,12.295
9/20/2011,4/27/2017,Americana Run 2016 - Memorial Day,25-34,inactive,2,actions:offsite_conversion.fb_pixel_purchase,4020,24.17,48.34,5108,9.463586531,2,24.17
9/20/2011,4/27/2017,Amer_logo_swag,45-54,inactive,2,actions:link_click,179,0.985,1.97,186,10.59139785,,
9/20/2011,4/27/2017,Amer_logo_swag,35-44,inactive,2,actions:link_click,349,2.16,4.32,364,11.86813187,,
9/20/2011,4/27/2017,Amer_logo_swag,65+,inactive,,,31,,0,33,0,,
9/20/2011,4/27/2017,Amer_logo_swag,55-64,inactive,2,actions:link_click,69,2.445,4.89,71,68.87323944,,
9/20/2011,4/27/2017,Americana Run 2016 - Memorial Day,65+,inactive,,,400,,8.95,554,16.15523466,,
9/20/2011,4/27/2017,Amer_logo_swag,25-34,inactive,2,actions:link_click,494,3.7,7.4,513,14.42495127,,
9/20/2011,4/27/2017,TPR 2016 - 10% Off Female,35-44,inactive,1,actions:offsite_conversion.fb_pixel_purchase,1491,17.08,17.08,1523,11.21470781,1,17.08
9/20/2011,4/27/2017,TPR 2016 - 10% Off Female,25-34,inactive,,,3197,,30.19,3244,9.306411837,,
9/20/2011,4/27/2017,TPR 2016 - 10% Off,25-34,inactive,8,actions:offsite_conversion.fb_pixel_purchase,1924,2.5375,20.3,2809,7.226771093,8,2.5375
9/20/2011,4/27/2017,TPR 2016 - 10% Off,45-54,inactive,4,actions:offsite_conversion.fb_pixel_purchase,1952,7.565,30.26,2702,11.19911177,4,7.565
9/20/2011,4/27/2017,TPR 2016 - 10% Off,35-44,inactive,4,actions:offsite_conversion.fb_pixel_purchase,2580,7.6625,30.65,3756,8.16027689,4,7.6625
9/20/2011,4/27/2017,TPR 2016 - 10% Off,55-64,inactive,2,actions:offsite_conversion.fb_pixel_purchase,887,6.88,13.76,1245,11.05220884,2,6.88
